rating_numeric,rating_rolling_mean,rating_rolling_std,rating_momentum,is_downgrade,is_upgrade,macro_10y_treasury_rate,macro_fed_funds_rate,yield_curve_spread,currentRatio,quickRatio,debtRatio,netProfitMargin,returnOnAssets,returnOnEquity,approximated_ytm,target_rating,Name,Year
1,1.0,0.0,0.0,0,0,1.8025,0.14,1.6625,1.612091951,1.495245202,0.780792426,0.396803822,0.112173379,0.511722186,41.1551,1,MGM Resorts International,2012
0,0.5,0.7071067811865476,0.0,1,0,2.3508333333333336,0.1075,2.2433333333333336,1.227555919,1.692045151,0.837949099,-0.015964463,-0.005997889,-0.037012379,41.1479,0,MGM Resorts International,2013
0,0.3333333333333333,0.5773502691896258,0.0,0,0,2.3508333333333336,0.1075,2.2433333333333336,1.301931638,1.145105784,0.833913201,-0.192961587,-0.067251612,-0.404918466,41.139,0,MGM Resorts International,2013
1,0.3333333333333333,0.5773502691896258,0.0,0,1,2.540833333333333,0.08916666666666667,2.451666666666666,0.888270722,0.809014283,0.846796543,-0.014865427,-0.005612693,-0.036635551,41.1327,1,MGM Resorts International,2014
0,0.3333333333333333,0.5773502691896258,0.0,1,0,1.8416666666666668,0.395,1.4466666666666668,1.076318919,1.627545911,0.796950591,-0.048717811,-0.017755972,-0.087446559,41.1535,0,MGM Resorts International,2016
1,0.6666666666666666,0.5773502691896258,1.0,0,1,1.8416666666666668,0.395,1.4466666666666668,0.972166471,1.399633124,0.77921721,0.116491345,0.03909517,0.177075261,41.1679,1,MGM Resorts International,2016
4,4.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,0.774509804,0.612745098,0.41053773,0.221906117,0.009950883,0.01688129,41.1774,4,MPLX LP,2015
4,4.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,0.966202783,0.780318091,0.622725401,0.221229254,0.099876492,0.264731558,40.9658,4,MPLX LP,2015
4,4.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,1.051136364,0.927556818,0.381172654,0.08996139,0.013997357,0.022619163,41.4163,4,MPLX LP,2016
1,1.0,0.0,0.0,0,0,1.8025,0.14,1.6625,1.497207407,1.266035048,0.577939318,0.192525371,0.056079607,0.132870958,40.9171,1,MSCI Inc,2012
1,1.0,0.0,0.0,0,0,2.3508333333333336,0.1075,2.2433333333333336,1.26636795,1.049465153,0.497098296,0.214892432,0.071001555,0.141183762,40.9635,1,MSCI Inc,2013
1,1.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,1.6295463,1.453792672,0.504925238,0.285059397,0.098167181,0.198287588,40.9719,1,MSCI Inc,2015
1,1.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,2.134585117,1.979348184,0.713539649,0.208042135,0.071067342,0.248087881,40.9245,1,MSCI Inc,2015
1,1.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,1.96744134,1.888547627,0.896967733,0.226698555,0.084622352,0.821318934,40.8367,1,MSCI Inc,2016
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,1.855133256,0.731873967,0.439833692,0.080615817,0.098652217,0.176112372,40.4251,0,MTS Systems Corporation,2016
4,4.0,0.0,0.0,0,0,3.214166666666667,0.17500000000000002,3.039166666666667,1.398244664,0.443476933,0.604730896,0.200058172,0.083805374,0.212021059,41.5071,4,Magellan Midstream Partners L.P.,2010
4,4.0,0.0,0.0,0,0,2.785833333333333,0.10166666666666667,2.6841666666666666,1.968108534,1.092790664,0.638219373,0.236503577,0.10224126,0.28260568,41.48,4,Magellan Midstream Partners L.P.,2011
4,4.0,0.0,0.0,0,0,1.8025,0.14,1.6625,1.783602465,1.009614895,0.657086193,0.252705587,0.101313623,0.295449237,41.4647,4,Magellan Midstream Partners L.P.,2012
4,4.0,0.0,0.0,0,0,2.3508333333333336,0.1075,2.2433333333333336,0.621569666,0.158017848,0.642089756,0.315023772,0.124002139,0.346461553,41.4768,4,Magellan Midstream Partners L.P.,2013
7,5.0,1.7320508075688772,3.0,0,1,2.1358333333333333,0.1325,2.0033333333333334,0.751027222,0.313321707,0.661385446,0.337489794,0.14091768,0.416159548,41.4612,7,Magellan Midstream Partners L.P.,2015
7,6.0,1.7320508075688772,3.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,0.475203065,0.192175545,0.665362314,0.367525371,0.1331297,0.397832358,41.458,7,Magellan Midstream Partners L.P.,2015
